CIU_Nombre;CIU_Abreviatura;CIU_IdDepartamento;CIU_Estado
ABEJORRAL;2;5;1
ABRIAQUI;4;5;1
ALEJANDRIA;21;5;1
AMAGA;30;5;1
AMALFI;31;5;1
ANDES;34;5;1
ANGELOPOLIS;36;5;1
ANGOSTURA;38;5;1
ANORI;40;5;1
SANTAFE DE ANTIOQUIA;42;5;1
ANZA;44;5;1
APARTADO;45;5;1
ARBOLETES;51;5;1
ARGELIA;55;5;1
ARMENIA;59;5;1
BARBOSA;79;5;1
BELMIRA;86;5;1
BELLO;88;5;1
BETANIA;91;5;1
BETULIA;93;5;1
CIUDAD BOLIVAR;101;5;1
BRICEÑO;107;5;1
BURITICA;113;5;1
CACERES;120;5;1
CAICEDO;125;5;1
CALDAS;129;5;1
CAMPAMENTO;134;5;1
CAÑASGORDAS;138;5;1
CARACOLI;142;5;1
CARAMANTA;145;5;1
CAREPA;147;5;1
EL CARMEN DE VIBORAL;148;5;1
CAROLINA;150;5;1
CAUCASIA;154;5;1
CHIGORODO;172;5;1
CISNEROS;190;5;1
COCORNA;197;5;1
CONCEPCION;206;5;1
CONCORDIA;209;5;1
COPACABANA;212;5;1
DABEIBA;234;5;1
DON MATIAS;237;5;1
EBEJICO;240;5;1
EL BAGRE;250;5;1
ENTRERRIOS;264;5;1
ENVIGADO;266;5;1
FREDONIA;282;5;1
FRONTINO;284;5;1
GIRALDO;306;5;1
GIRARDOTA;308;5;1
GOMEZ PLATA;310;5;1
GRANADA;313;5;1
GUADALUPE;315;5;1
GUARNE;318;5;1
GUATAPE;321;5;1
HELICONIA;347;5;1
HISPANIA;353;5;1
ITAGÜI;360;5;1
ITUANGO;361;5;1
JARDIN;364;5;1
JERICO;368;5;1
LA CEJA;376;5;1
LA ESTRELLA;380;5;1
LA PINTADA;390;5;1
LA UNION;400;5;1
LIBORINA;411;5;1
MACEO;425;5;1
MARINILLA;440;5;1
MONTEBELLO;467;5;1
MURINDO;475;5;1
MUTATA;480;5;1
NARIÑO;483;5;1
NECOCLI;490;5;1
NECHI;495;5;1
OLAYA;501;5;1
PEÑOL;541;5;1
PEQUE;543;5;1
PUEBLORRICO;576;5;1
PUERTO BERRIO;579;5;1
PUERTO NARE;585;5;1
PUERTO TRIUNFO;591;5;1
REMEDIOS;604;5;1
RETIRO;607;5;1
RIONEGRO;615;5;1
SABANALARGA;628;5;1
SABANETA;631;5;1
SALGAR;642;5;1
SAN ANDRES;647;5;1
SAN CARLOS;649;5;1
SAN FRANCISCO;652;5;1
SAN JERONIMO;656;5;1
SAN JOSE DE LA MONTAÑA;658;5;1
SAN JUAN DE URABA;659;5;1
SAN LUIS;660;5;1
SAN PEDRO;664;5;1
SAN PEDRO DE URABA;665;5;1
SAN RAFAEL;667;5;1
SAN ROQUE;670;5;1
SAN VICENTE;674;5;1
SANTA BARBARA;679;5;1
SANTA ROSA DE OSOS;686;5;1
SANTO DOMINGO;690;5;1
EL SANTUARIO;697;5;1
SEGOVIA;736;5;1
SONSON;756;5;1
SOPETRAN;761;5;1
TAMESIS;789;5;1
TARAZA;790;5;1
TARSO;792;5;1
TITIRIBI;809;5;1
TOLEDO;819;5;1
TURBO;837;5;1
URAMITA;842;5;1
URRAO;847;5;1
VALDIVIA;854;5;1
VALPARAISO;856;5;1
VEGACHI;858;5;1
VENECIA;861;5;1
VIGIA DEL FUERTE;873;5;1
YALI;885;5;1
YARUMAL;887;5;1
YOLOMBO;890;5;1
YONDO;893;5;1
ZARAGOZA;895;5;1
BARANOA;78;8;1
CAMPO DE LA CRUZ;137;8;1
CANDELARIA;141;8;1
GALAPA;296;8;1
JUAN DE ACOSTA;372;8;1
LURUACO;421;8;1
MALAMBO;433;8;1
MANATI;436;8;1
PALMAR DE VARELA;520;8;1
PIOJO;549;8;1
POLONUEVO;558;8;1
PONEDERA;560;8;1
PUERTO COLOMBIA;573;8;1
REPELON;606;8;1
SABANAGRANDE;634;8;1
SABANALARGA;638;8;1
SANTA LUCIA;675;8;1
SANTO TOMAS;685;8;1
SOLEDAD;758;8;1
SUAN;770;8;1
TUBARA;832;8;1
USIACURI;849;8;1
ACHI;6;13;1
ALTOS DEL ROSARIO;30;13;1
ARENAL;42;13;1
ARJONA;52;13;1
ARROYOHONDO;62;13;1
BARRANCO DE LOBA;74;13;1
CALAMAR;140;13;1
CANTAGALLO;160;13;1
CICUCO;188;13;1
CORDOBA;212;13;1
CLEMENCIA;222;13;1
EL CARMEN DE BOLIVAR;244;13;1
EL GUAMO;248;13;1
EL PEÑON;268;13;1
HATILLO DE LOBA;300;13;1
MAGANGUE;430;13;1
MAHATES;433;13;1
MARGARITA;440;13;1
MARIA LA BAJA;442;13;1
MONTECRISTO;458;13;1
MOMPOS;468;13;1
MORALES;473;13;1
PINILLOS;549;13;1
REGIDOR;580;13;1
RIO VIEJO;600;13;1
SAN CRISTOBAL;620;13;1
SAN ESTANISLAO;647;13;1
SAN FERNANDO;650;13;1
SAN JACINTO;654;13;1
SAN JACINTO DEL CAUCA;655;13;1
SAN JUAN NEPOMUCENO;657;13;1
SAN MARTIN DE LOBA;667;13;1
SAN PABLO;670;13;1
SANTA CATALINA;673;13;1
SANTA ROSA;683;13;1
SANTA ROSA DEL SUR;688;13;1
SIMITI;744;13;1
SOPLAVIENTO;760;13;1
TALAIGUA NUEVO;780;13;1
TIQUISIO;810;13;1
TURBACO;836;13;1
TURBANA;838;13;1
VILLANUEVA;873;13;1
ZAMBRANO;894;13;1
ALMEIDA;22;15;1
AQUITANIA;47;15;1
ARCABUCO;51;15;1
BELEN;87;15;1
BERBEO;90;15;1
BETEITIVA;92;15;1
BOAVITA;97;15;1
BOYACA;104;15;1
BRICEÑO;106;15;1
BUENAVISTA;109;15;1
BUSBANZA;114;15;1
CALDAS;131;15;1
CAMPOHERMOSO;135;15;1
CERINZA;162;15;1
CHINAVITA;172;15;1
CHIQUINQUIRA;176;15;1
CHISCAS;180;15;1
CHITA;183;15;1
CHITARAQUE;185;15;1
CHIVATA;187;15;1
CIENEGA;189;15;1
COMBITA;204;15;1
COPER;212;15;1
CORRALES;215;15;1
COVARACHIA;218;15;1
CUBARA;223;15;1
CUCAITA;224;15;1
CUITIVA;226;15;1
